device,problem,dim,type_instance,instances_req,instances_used,restarts,budget,M,lambda,kernel,advantage,epsilon_svgd,gamma,no_interact,no_repulsion,decay,decay_start_ratio,decay_min_factor,repeats,time_sec_avg,time_sec_min,time_sec_max
cuda:0,NK3,64,2,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,4.068822717000633,3.995697808000841,4.174131695999677
cpu,NK3,64,4,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.5813484783320746,1.516810765999253,1.706258385998808
cpu,NK3,64,4,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,29.444783042666433,29.063610241002607,29.768667938998988
cuda:0,NK3,64,4,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.3084711656665604,2.1938320199988084,2.3720655659999466
cuda:0,NK3,64,4,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,4.258925251000619,4.186970478000148,4.33328563699979
cpu,NK3,64,8,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.018047180334785,1.9801025730012043,2.045944319001137
cpu,NK3,64,8,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,35.21425687200099,34.84439340799872,35.78802606500176
cuda:0,NK3,64,8,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.8690331370004665,2.816158738998638,2.9103814520021842
cuda:0,NK3,64,8,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,9.403705305666032,9.378875845999573,9.451737638999475
cpu,BLOCK,256,256,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,1.432698480001515,1.3617551820025255,1.4994533349999983
cpu,BLOCK,256,256,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,18.424832955664897,17.715101465997577,19.31258221099779
cuda:0,BLOCK,256,256,1,1,1,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.1551575116670088,2.1011884239997016,2.2138931260014942
cuda:0,BLOCK,256,256,100,10,10,50000,7,13,rbf,globalrankweighted,0.08,0.015,False,False,True,0.03,0.01,3,2.5981933693340884,2.562770206001005,2.6375194060019567
