problem,n,type_instance,M,mean,median,q1,q3,p2,p98
QUBO,128,2,7,436.839996,434.500000,416.750000,462.000000,387.940002,479.000000
QUBO,256,0,7,1671.859985,1671.000000,1633.000000,1713.500000,1552.800049,1792.380005
QUBO,64,0,7,204.259995,205.000000,197.000000,212.250000,179.979996,224.000000
QUBO,64,2,8,141.000000,143.000000,129.750000,149.000000,120.940002,160.000000
QUBO,128,5,8,937.380005,934.500000,891.500000,981.250000,826.880005,1054.079956
QUBO,64,3,8,422.619995,422.000000,407.500000,434.000000,383.920013,475.040009
QUBO,256,1,8,1335.939941,1331.000000,1300.750000,1375.750000,1242.760010,1439.160034
QUBO,64,5,8,316.179993,319.000000,281.000000,340.500000,263.959991,398.000000
QUBO,64,4,8,335.320007,338.000000,324.000000,349.000000,295.920013,372.000000
QUBO,128,1,8,450.040009,455.000000,435.000000,467.000000,403.880005,492.079987
QUBO,128,3,8,1225.920044,1216.500000,1188.500000,1273.000000,1133.880005,1359.160034
QUBO,256,4,8,2700.340088,2719.500000,2626.000000,2758.250000,2489.540039,2911.120117
QUBO,256,2,8,1283.040039,1281.500000,1234.750000,1321.000000,1168.959961,1414.239990
QUBO,256,5,8,2658.639893,2643.500000,2572.000000,2764.000000,2448.479980,2899.020020
QUBO,256,3,8,3377.580078,3370.000000,3312.750000,3443.000000,3229.780029,3585.320068
QUBO,128,0,8,596.260010,593.500000,577.750000,611.500000,556.000000,647.000000
QUBO,128,4,8,961.059998,958.500000,924.250000,992.500000,856.640015,1076.040039
QUBO,64,1,8,150.940002,151.000000,141.000000,158.000000,129.899994,179.000000
QUBO,128,2,8,433.899994,435.500000,420.000000,455.000000,358.000000,483.119995
QUBO,256,0,8,1676.699951,1675.500000,1641.000000,1713.500000,1578.920044,1769.119995
QUBO,64,0,8,205.960007,205.500000,201.000000,213.500000,181.960007,224.000000
QUBO,64,2,9,142.000000,143.000000,133.000000,149.000000,122.959999,160.020004
QUBO,128,5,9,933.859985,930.500000,889.000000,977.500000,831.919983,1049.140015
QUBO,64,3,9,423.600006,422.000000,405.500000,441.750000,371.839996,473.239990
QUBO,256,1,9,1329.459961,1325.500000,1293.250000,1364.750000,1236.579956,1426.319946
QUBO,64,5,9,317.000000,322.000000,282.250000,342.000000,265.959991,396.000000
QUBO,64,4,9,337.399994,340.000000,324.000000,350.000000,291.959991,372.000000
QUBO,128,1,9,449.299988,452.000000,432.750000,471.250000,402.980011,489.179993
QUBO,128,3,9,1232.400024,1234.500000,1185.500000,1266.250000,1111.859985,1361.000000
QUBO,256,4,9,2688.459961,2679.000000,2614.000000,2760.250000,2498.580078,2925.120117
QUBO,256,2,9,1278.219971,1271.000000,1236.000000,1319.000000,1171.000000,1413.000000
QUBO,256,5,9,2637.860107,2627.000000,2553.500000,2705.250000,2438.419922,2860.500000
QUBO,256,3,9,3388.239990,3393.500000,3310.500000,3463.000000,3163.679932,3604.820068
QUBO,128,0,9,600.559998,601.000000,586.000000,616.250000,558.820007,643.200012
QUBO,128,4,9,956.419983,958.000000,909.750000,1007.750000,826.520020,1074.040039
QUBO,64,1,9,151.380005,151.000000,141.000000,157.250000,134.979996,179.000000
QUBO,128,2,9,439.179993,436.000000,424.000000,457.000000,398.899994,483.040009
QUBO,256,0,9,1681.359985,1676.000000,1639.750000,1723.250000,1550.719971,1799.000000
QUBO,64,0,9,205.259995,205.000000,198.750000,213.000000,182.000000,224.000000
QUBO,64,2,10,141.820007,141.000000,133.000000,149.000000,124.959999,159.020004
QUBO,128,5,10,933.200012,930.000000,893.750000,971.250000,826.700012,1048.160034
QUBO,64,3,10,426.980011,426.000000,407.500000,446.500000,375.959991,477.160004
QUBO,256,1,10,1333.819946,1324.500000,1299.750000,1365.000000,1236.839966,1441.040039
QUBO,64,5,10,316.399994,320.000000,280.750000,340.000000,267.980011,394.040009
QUBO,64,4,10,337.140015,340.000000,326.000000,349.250000,292.000000,372.000000
QUBO,128,1,10,451.739990,454.000000,435.000000,470.000000,408.760010,490.040009
QUBO,128,3,10,1222.540039,1219.000000,1175.750000,1257.500000,1124.939941,1343.239990
QUBO,256,4,10,2677.979980,2669.000000,2586.750000,2770.500000,2467.840088,2879.100098
QUBO,256,2,10,1280.420044,1279.500000,1240.750000,1317.000000,1188.959961,1410.160034
QUBO,256,5,10,2655.219971,2647.500000,2558.750000,2735.000000,2476.000000,2880.199951
QUBO,256,3,10,3385.040039,3371.500000,3314.250000,3447.000000,3201.560059,3613.879883
QUBO,128,0,10,596.659973,594.000000,578.000000,614.250000,556.900024,645.000000
QUBO,128,4,10,957.140015,959.000000,917.750000,992.250000,855.900024,1074.000000
QUBO,64,1,10,152.360001,153.500000,141.000000,158.000000,135.000000,179.000000
QUBO,128,2,10,441.079987,436.500000,425.750000,463.500000,394.980011,489.000000
QUBO,256,0,10,1668.880005,1668.500000,1626.750000,1706.500000,1551.000000,1784.079956
QUBO,64,0,10,206.039993,206.500000,199.000000,213.500000,182.000000,224.000000
QUBO,64,2,11,141.839996,143.000000,134.000000,147.500000,123.000000,160.000000
QUBO,128,5,11,939.599976,937.000000,898.250000,973.000000,839.900024,1054.280029
QUBO,64,3,11,427.339996,426.000000,414.000000,440.250000,386.000000,477.119995
QUBO,256,1,11,1333.920044,1342.000000,1293.500000,1369.500000,1235.859985,1445.060059
QUBO,64,5,11,318.119995,325.000000,280.000000,342.000000,265.980011,396.000000
QUBO,64,4,11,338.799988,340.000000,327.500000,350.000000,300.980011,372.000000
QUBO,128,1,11,452.820007,455.000000,436.000000,471.000000,410.940002,492.000000
QUBO,128,3,11,1237.420044,1232.000000,1198.750000,1274.250000,1133.920044,1365.000000
QUBO,256,4,11,2685.800049,2689.000000,2606.750000,2754.500000,2515.860107,2888.120117
QUBO,256,2,11,1267.280029,1260.000000,1223.000000,1320.250000,1154.800049,1394.439941
QUBO,256,5,11,2640.300049,2631.000000,2557.750000,2718.250000,2401.939941,2858.360107
QUBO,256,3,11,3371.139893,3359.500000,3271.000000,3458.750000,3161.959961,3624.219971
QUBO,128,0,11,598.419983,596.000000,583.000000,613.000000,562.919983,636.140015
QUBO,128,4,11,955.619995,958.500000,915.000000,1001.250000,838.880005,1076.040039
QUBO,64,1,11,152.660004,154.000000,145.000000,158.000000,135.979996,179.000000
QUBO,128,2,11,440.640015,436.000000,422.750000,461.250000,394.899994,489.000000
QUBO,256,0,11,1666.979980,1657.500000,1629.000000,1693.500000,1565.000000,1795.099976
QUBO,64,0,11,206.000000,206.000000,199.500000,215.000000,182.960007,224.000000
QUBO,64,2,12,142.639999,143.000000,133.750000,151.000000,122.919998,160.000000
QUBO,128,5,12,939.000000,939.000000,899.750000,973.500000,831.880005,1066.079956
QUBO,64,3,12,427.000000,423.000000,410.750000,439.000000,386.000000,473.000000
QUBO,256,1,12,1324.939941,1329.000000,1282.500000,1370.000000,1220.739990,1429.459961
QUBO,64,5,12,318.339996,327.000000,282.250000,340.500000,268.000000,396.040009
QUBO,64,4,12,340.079987,342.000000,333.000000,350.000000,299.959991,372.000000
QUBO,128,1,12,453.239990,455.000000,435.750000,472.000000,403.980011,492.000000
QUBO,128,3,12,1225.060059,1216.000000,1177.750000,1254.750000,1139.900024,1363.000000
QUBO,256,4,12,2672.760010,2659.500000,2588.250000,2750.500000,2489.000000,2954.199951
QUBO,256,2,12,1259.800049,1256.000000,1214.500000,1294.250000,1146.959961,1404.020020
QUBO,256,5,12,2631.379883,2620.500000,2522.500000,2737.000000,2384.620117,2876.179932
QUBO,256,3,12,3363.419922,3347.000000,3289.250000,3409.750000,3194.959961,3652.179932
QUBO,128,0,12,595.840027,596.500000,581.000000,611.250000,545.739990,645.119995
QUBO,128,4,12,959.820007,960.000000,912.000000,1003.250000,858.719971,1078.000000
QUBO,64,1,12,152.259995,154.000000,145.000000,157.250000,134.919998,179.000000
QUBO,128,2,12,438.500000,436.000000,421.000000,454.250000,394.899994,489.000000
QUBO,256,0,12,1661.579956,1662.500000,1614.500000,1700.000000,1554.800049,1770.160034
QUBO,64,0,12,205.800003,205.000000,201.000000,212.250000,185.940002,224.000000
QUBO,64,2,13,143.139999,143.500000,133.750000,151.000000,126.919998,160.020004
QUBO,128,5,13,934.940002,929.000000,886.500000,981.500000,830.960022,1066.000000
QUBO,64,3,13,428.859985,426.000000,414.000000,447.500000,379.920013,475.040009
QUBO,256,1,13,1324.979980,1327.000000,1285.250000,1363.000000,1220.579956,1445.040039
