Job démarré sur gnode5 à Mon Feb 16 13:40:47 CET 2026
Run main_expe
[CONFIG] krbf__advnormalizedfitness__M2__L6__eps0p01__g0p006__ds0p01__dm0p01
  -> run QUBO_dim128_t2
     avg_score=-424.579987 | runtime=4.80s
  -> run QUBO_dim128_t3
     avg_score=-1189.339966 | runtime=4.80s
  -> run QUBO_dim128_t4
     avg_score=-934.859985 | runtime=4.80s
  -> run QUBO_dim128_t5
     avg_score=-903.159973 | runtime=4.80s
  -> run QUBO_dim256_t0
     avg_score=-1569.359985 | runtime=4.96s
  -> run QUBO_dim256_t1
     avg_score=-1264.099976 | runtime=4.91s
  -> run QUBO_dim256_t2
     avg_score=-1195.199951 | runtime=4.96s
  -> run QUBO_dim256_t3
     avg_score=-3180.540039 | runtime=4.96s
  -> run QUBO_dim256_t4
     avg_score=-2552.320068 | runtime=4.96s
  -> run QUBO_dim256_t5
     avg_score=-2483.239990 | runtime=4.96s
  -> run NK_dim128_t1
     avg_score=0.711001 | runtime=4.78s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.738002 | runtime=4.78s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.757838 | runtime=4.81s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.716871 | runtime=5.25s
  -> run NK_dim256_t1
     avg_score=0.706999 | runtime=4.88s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.733911 | runtime=4.91s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.741252 | runtime=5.02s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.659373 | runtime=6.04s
  -> run NK_dim64_t1
     avg_score=0.711717 | runtime=4.76s
  -> run NK_dim64_t2
     avg_score=0.744067 | runtime=4.76s
  -> run NK_dim64_t4
     avg_score=0.752997 | runtime=4.78s
  -> run NK_dim64_t8
     avg_score=0.736773 | runtime=5.00s
[CONFIG] krbf__advnormalizedfitness__M2__L6__eps0p01__g0p015__ds0p3__dm0p3
  -> run QUBO_dim64_t0
     avg_score=-201.660004 | runtime=4.76s
  -> run QUBO_dim64_t1
     avg_score=-148.479996 | runtime=4.75s
  -> run QUBO_dim64_t2
     avg_score=-138.419998 | runtime=4.75s
